Sn,Product Name,Barcode,MOQ,Total Orders,Available Warehouse Stock,Allocation
1,I.L.D ONION RED/INDIAN.,35,0,0,0,
2,RED POTATO,1001,10,380,0,
3,RED POTATO,1002,10,90,205,
4,ONION RED/INDIAN,1004,10,140,242,
5,GINGER,1009,3,39,85.5,
6,GARLIC,1010,3,18,58,
7,TAMA,1125,1,17,0,
8,APPLE CHINA,2002,5,35,2,
9,APPLE GOLDEN,2005,5,150,0,
10,RED APPLE USA,2006,5,10,7.2,
11,GREEN APPLE USA,2008,1,2,0,
12,STRAWBERRY 2016,2016,1,123,0,
13,LITCHI INDIA,2019,1,22,0,
14,COCONUT WATER,2028,1,18,50,
15,PINEAPPLE INDIA,2029,1,15,2,
16,POMEGRANATE RED INDIA,2038,5,20,1.82,
17,PREMIUM ORANGE NEPAL,2043,10,260,0,
18,PAPAYA INDIA,2048,6,84,38.2,
19,MAUSAM INDIA,2051,5,75,-2,
20,MANGO MALDA,2056,10,640,0,
21,MANGO DASHARI,2058,10,620,0,
22,WATERMELON LONG,2065,10,70,280,
23,PLUMS RED,2076,5,35,0,
24,SWEET TAMARIND 250G,2106,1,57,0,
25,BABY POTATO,2108,10,190,1637,
26,APPLE JHOLE CHAINA,2111,5,60,13.56,
27,APPLE FUJI THAILAND,2131,5,70,115,
28,ORANGE NAVELS,2145,5,70,47.7,
29,RED HONEY MELON,2155,10,180,0,
30,MANGO MALDA PREMIUM,2345,1,8,1289.85,
31,POTATO RED (BIG),7116,10,240,10,
32,KESHARI MANGO,8023,1,99,0,
33,KIWI AUSTRALIA(D),8034,1,8,94,
34,MANGO BOMBAY,8096,1,150,1370,
35,POTATO RED REGULAR (DHARNI),8173,1,127,105,
