moq,1020,sales,times 30,stock,,,,,,,,,,ratio
,BMAN,4.017,120.51,10,-5.983,110.51,110,28.73730044,30,,,,,0.261248186
,BMBD,1.243,37.29,10,-8.757,27.29,25,6.531204644,5,,,,,
,BMBJ,2.757,82.71,10,-7.243,72.71,75,19.59361393,20,,,,,
,BMBKD,1.837,55.11,10,-8.163,45.11,45,11.75616836,10,,,,,
,BMBM,7.285,218.55,10,-2.715,208.55,210,54.86211901,55,,,,,
,BMBP,3.713,111.39,10,-6.287,101.39,100,26.12481858,25,,,,,
,BMBS,3.178,95.34,10,-6.822,85.34,85,22.20609579,20,,,,,
,BMCC,2.248,67.44,10,-7.752,57.44,55,14.36865022,15,,,,,
,BMDH,5.628,168.84,10,-4.372,158.84,160,41.79970972,40,,,,,
,BMGB,3.683,110.49,10,-6.317,100.49,100,26.12481858,25,,,,,
,BMHG,8.202,246.06,10,-1.798,236.06,235,61.39332366,60,,,,,
,BMJL2,11.457,343.71,10,1.457,333.71,335,87.51814224,90,,,,,
,BMKB,2.842,85.26,10,-7.158,75.26,75,19.59361393,20,,,,,
,BMLZ,14.845,445.35,10,4.845,435.35,435,113.6429608,115,,,,,
,BMMT,7.182,215.46,10,-2.818,205.46,205,53.55587808,55,,,,,
,BMNT,5.562,166.86,10,-4.438,156.86,155,40.4934688,40,,,,,
,BMNX,6.926,207.78,10,-3.074,197.78,200,52.24963716,50,,,,,
5,BMPC,8.033,240.99,10,-1.967,230.99,230,60.08708273,60,,,,,
,BMPC2,0.728,21.84,10,-9.272,11.84,10,2.612481858,5,,,,,
,BMSB,2.842,85.26,10,-7.158,75.26,75,19.59361393,20,,,,,
,BMSD,3.937,118.11,10,-6.063,108.11,110,28.73730044,30,,,,,
,BMSK,8.667,260.01,10,-1.333,250.01,250,65.31204644,65,,,,,
,BMSN,2.961,88.83,10,-7.039,78.83,80,20.89985486,20,,,,,
,BMSP,1.008,30.24,10,-8.992,20.24,20,5.224963716,5,,,,,
,BMTB,1.17,35.1,10,-8.83,25.1,25,6.531204644,5,,,,,
,BMTR,1.627,48.81,10,-8.373,38.81,40,10.44992743,10,,,,,
,,,,,,3447.34,3445,,895,,,,,
,,,,,,900,,,,,,,,
