Our list of product,,,,,,,,,,,oracele ko list,,
S.no,Product Name,Item Code,Barcode,asdasd,MOQ,Division,Department,Status,,,ITEM_NAME,ICODE,BARCODE
1,I.L.D KESHARI MANGO I.L.D 1,BM68605,100,136,1,FRESH,SOFT FRUITS,Active,,,CARROT/NEPALI VEGETABLES   5 ,BM8928,1020
2,RED POTATO VEGETABLES 10,BM8909,1001,70,10,FRESH,LONG FRESH VEG,Active,,,CUCUMBER/LOCAL VEGETABLES   5 ,BM8930,1022
3,RED POTATO VEGETABLES 10,BM8910,1002,67,10,FRESH,LONG FRESH VEG,Active,,,FRENCH BEANS/NEPALI VEGETABLES   3 ,BM8932,1024
4,ONION RED/INDIAN VEGETABLES 10,BM8912,1004,66,10,FRESH,LONG FRESH VEG,Active,,,BEETROOT VEGETABLES   5 ,BM8936,1028
5,ONION BROWN/NEPALI 1,BM8915,1007,#N/A,1,FRESH,FRESH VEG,Active,,,KARELA VEGETABLES   3 ,BM8954,1046
6,GINGER VEGETABLES 3,BM8917,1009,65,3,FRESH,LONG FRESH VEG,Active,,,CHICHINDO VEGETABLES   3 ,BM8956,1048
7,GARLIC VEGETABLES 3,BM8918,1010,69,3,FRESH,LONG FRESH VEG,Active,,,PARVAR    2 ,BM8952,1044
8,TOMATO BIG,BM20088,1011,8,5,FRESH,FRESH VEG,Active,,,TOMATO BIG VEGETABLES   5 ,BM8919,1011
9,TOMATO SMALL VEGETABLES 10,BM8920,1012,9,10,FRESH,FRESH VEG,Active,,,TOMATO SMALL VEGETABLES   10 ,BM8920,1012
10,CAULIFLOWER/LOCAL VEGETABLES 5,BM8922,1014,64,5,FRESH,FRESH VEG,Active,,,CABBAGE/INDIAN VEGETABLES   1 ,BM8927,1019
11,CAULIFLOWER/TERAI,BM8923,1015,#N/A,0,FRESH,FRESH VEG,Inactive,,,ICEBERG LETUCE FRUITS   1 ,BM8999,1091
12,FLATE BEANS VEGETABLES 3,BM8924,1016,58,3,FRESH,FRESH VEG,Active,,,BABARI VEGETABLES   1 ,BM8989,1081
13,CABBAGE/LOCAL VEGETABLES 5,BM8925,1017,38,5,FRESH,FRESH VEG,Active,,,RED PUMPKIN VEGETABLES   5 ,BM8942,1034
14,CABBAGE/TERAI VEGETABLES 1,BM8926,1018,#N/A,1,FRESH,FRESH VEG,Active,,,LETUCE RED(D) FRUITS   1 ,BM20102,7080
15,CARROT/NEPALI VEGETABLES 5,BM8928,1020,1,5,FRESH,FRESH VEG,Active,,,MUDEKO ALOO (GRC) VEGETABLES   1 ,BM58964,2146
16,CUCUMBER/LOCAL VEGETABLES 5,BM8930,1022,2,5,FRESH,FRESH VEG,Active,,,LAUKA VEGETABLES   5 ,BM8957,1049
17,CUCUMBER/INDIAN VEGETABLES 5,BM8931,1023,42,5,FRESH,FRESH VEG,Active,,,EGG-PLANT BIG VEGETABLES   3 ,BM8962,1054
18,FRENCH BEANS/NEPALI VEGETABLES 3,BM8932,1024,3,3,FRESH,FRESH VEG,Active,,,EGG-PLANT LONG VEGETABLES   3 ,BM8963,1055
19,FRENCH BEANS/INDIAN VEGETABLES 3,BM8933,1025,#N/A,3,FRESH,FRESH VEG,Active,,,ORGANIC OKRA (BHENDI) / PC ORGANIC   1 ,BM25029,1141
20,RAJMA NEPALI VEGETABLES 2,BM8934,1026,#N/A,2,FRESH,FRESH VEG,Active,,,SPINACH/NEPALI LEAFY VEG   1 ,BM8984,1076
21,BEETROOT VEGETABLES 5,BM8936,1028,4,5,FRESH,FRESH VEG,Active,,,DHANIYA PATTA LEAFY VEG   5 ,BM8986,1078
22,CAPSICUM/GREEN VEGETABLES 2,BM8937,1029,48,2,FRESH,FRESH VEG,Active,,,LETTUCE LEAFY VEG   1 ,BM8987,1079
23,CAPSICUM/RED FRUITS 1,BM8938,1030,#N/A,1,FRESH,LONG FRUITS,Active,,,LIME VEGETABLES   2 ,BM9106,2099
24,CAPSICUM/YELLOW FRUITS 1,BM8939,1031,#N/A,1,FRESH,LONG FRUITS,Active,,,BABY MARROW(D) FRUITS   1 ,BM20033,7011
25,LONG SWEET CHILLI VEGETABLES 2,BM8940,1032,37,2,FRESH,FRESH VEG,Active,,,KURILO VEGETABLES   1 ,BM8972,1064
26,BABY MARROW VEGETABLES 5,BM8941,1033,49,5,FRESH,FRESH VEG,Active,,,TOFU FRESH VEGETABLES   5 ,BM8977,1069
27,RED PUMPKIN VEGETABLES 5,BM8942,1034,13,5,FRESH,FRESH VEG,Active,,,PUDINA/MINT LEAFY VEG   5 ,BM8988,1080
28,BROCCOLI/NEPALI VEGETABLES 3,BM8943,1035,44,3,FRESH,FRESH VEG,Active,,,RADISH-RED FRUITS   1 ,BM8993,1085
29,JACKFRUIT FRUITS 5,BM8945,1037,52,5,FRESH,FRESH VEG,Active,,,PARSLEY FRUITS   5 ,BM8990,1082
30,LONG BEANS VEGETABLES 2,BM8948,1040,61,2,FRESH,FRESH VEG,Active,,,GARLIC SPRING LEAFY VEG   10 ,BM8991,1083
31,PARVAR 2,BM8952,1044,7,2,FRESH,FRESH VEG,Active,,,RAYO SAAG LEAFY VEG   1 ,BM8997,1089
32,OKRA VEGETABLES 3,BM8953,1045,41,3,FRESH,FRESH VEG,Active,,,CELERY LOCAL HERBS   5 ,BM11413,1112
33,KARELA VEGETABLES 3,BM8954,1046,5,3,FRESH,FRESH VEG,Active,,,ONION SPRING LEAFY VEG   10 ,BM8992,1084
34,GHIRAUNLA FRUITS 2,BM8955,1047,62,2,FRESH,FRESH VEG,Active,,,CHAMSUR PATTA LEAFY VEG   1 ,BM8996,1088
35,CHICHINDO VEGETABLES 3,BM8956,1048,6,3,FRESH,FRESH VEG,Active,,,GREEN CHILLI LEAFY VEG   2 ,BM11408,1108
36,LAUKA VEGETABLES 5,BM8957,1049,16,5,FRESH,FRESH VEG,Active,,,PAKSOY SAAG LEAFY VEG   1 ,BM11412,1109
