ITEM_NAME,ICODE,BARCODE,DEPARTMENT,CAT5(MOQ),DIVISION,SECTION,ITEM_EXTINCT
RADISH RED VEGETABLES   1 ,BM18129,1136,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORGANIC BAKULLA ORGANIC   1 ,BM18256,8141,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORGANIC BROCAULI ORGANIC   1 ,BM18261,2125,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CARROT/NEPALI VEGETABLES   5 ,BM8928,1020,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CUCUMBER/LOCAL VEGETABLES   5 ,BM8930,1022,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
FRENCH BEANS/NEPALI VEGETABLES   3 ,BM8932,1024,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BEETROOT VEGETABLES   5 ,BM8936,1028,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
KARELA VEGETABLES   3 ,BM8954,1046,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CHICHINDO VEGETABLES   3 ,BM8956,1048,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PARVAR    2 ,BM8952,1044,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
TOMATO BIG VEGETABLES   5 ,BM8919,1011,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
TOMATO SMALL VEGETABLES   10 ,BM8920,1012,FRESH VEG,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CABBAGE/INDIAN VEGETABLES   1 ,BM8927,1019,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ICEBERG LETUCE FRUITS   1 ,BM8999,1091,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BABARI VEGETABLES   1 ,BM8989,1081,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
RED PUMPKIN VEGETABLES   5 ,BM8942,1034,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LETUCE RED(D) FRUITS   1 ,BM20102,7080,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
VEG. SALAD VEGETABLES   1 ,BM9007,1099,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MUDEKO ALOO (GRC) VEGETABLES   1 ,BM58964,2146,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LAUKA VEGETABLES   5 ,BM8957,1049,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
EGG-PLANT BIG VEGETABLES   3 ,BM8962,1054,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
EGG-PLANT LONG VEGETABLES   3 ,BM8963,1055,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ORGANIC OKRA (BHENDI) / PC ORGANIC   1 ,BM25029,1141,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
SPINACH/NEPALI LEAFY VEG   1 ,BM8984,1076,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
DHANIYA PATTA LEAFY VEG   5 ,BM8986,1078,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LETTUCE LEAFY VEG   1 ,BM8987,1079,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LIME VEGETABLES   2 ,BM9106,2099,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BABY MARROW(D) FRUITS   1 ,BM20033,7011,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ORGANIC ONION PACK 1KG VEGETABLES   1 ,BM11375,1101,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KURILO VEGETABLES   1 ,BM8972,1064,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
TOFU FRESH VEGETABLES   5 ,BM8977,1069,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
