ICODE,ITEM_EXTINCT
BM54190,Non Extinct
BM54185,Non Extinct
BM47441,Non Extinct
BM47442,Non Extinct
BM64281,Non Extinct
BM66294,Non Extinct
BM67214,Non Extinct
BM1876,Non Extinct
BM67895,Non Extinct
BM65414,Non Extinct
BM63887,Non Extinct
BM63888,Non Extinct
BM1919,Non Extinct
BM12397,Non Extinct
BM12942,Non Extinct
BM59780,Non Extinct
BM64924,Non Extinct
BM10078,Non Extinct
BM67170,Non Extinct
BM63422,Non Extinct
BM67294,Non Extinct
BM67296,Non Extinct
BM67300,Non Extinct
BM62420,Non Extinct
BM62100,Non Extinct
BM66080,Non Extinct
BM65268,Non Extinct
BM61078,Non Extinct
BM65274,Non Extinct
BM66229,Non Extinct
BM4473,Non Extinct
BM53828,Non Extinct
BM59386,Extinct
BM67309,Non Extinct
BM64273,Non Extinct
BM64275,Non Extinct
BM64278,Non Extinct
BM62858,Extinct
BM67301,Non Extinct
BM61390,Non Extinct
BM67311,Non Extinct
BM67312,Non Extinct
BM67314,Non Extinct
BM66981,Non Extinct
BM65276,Non Extinct
BM65277,Non Extinct
BM64742,Non Extinct
BM65191,Non Extinct
BM67276,Non Extinct
BM50659,Non Extinct
BM14977,Non Extinct
BM14979,Non Extinct
BM66982,Non Extinct
BM67275,Non Extinct
BM66470,Non Extinct
BM65629,Non Extinct
BM65630,Non Extinct
BM65362,Non Extinct
BM65433,Non Extinct
BM16513,Extinct
BM18129,Extinct
BM59200,Extinct
BM63475,Non Extinct
BM6604,Non Extinct
BM60522,Non Extinct
BM14976,Non Extinct
BM6799,Non Extinct
BM21042,Non Extinct
BM21044,Non Extinct
BM57141,Extinct
BM63048,Non Extinct
BM4283,Non Extinct
BM63576,Non Extinct
BM4229,Non Extinct
BM14971,Non Extinct
BM14975,Non Extinct
BM66467,Non Extinct
BM58703,Non Extinct
BM60245,Non Extinct
BM66482,Non Extinct
BM55106,Non Extinct
BM55117,Non Extinct
BM66029,Non Extinct
BM55185,Non Extinct
BM19519,Non Extinct
BM57052,Non Extinct
BM65429,Non Extinct
BM66032,Non Extinct
BM66033,Non Extinct
BM67292,Non Extinct
BM65428,Non Extinct
BM66963,Non Extinct
BM62809,Extinct
BM62823,Extinct
BM67208,Non Extinct
BM67661,Non Extinct
BM67215,Non Extinct
BM9357,Non Extinct
BM61782,Non Extinct
BM56602,Non Extinct
BM67896,Non Extinct
BM65654,Non Extinct
BM65655,Non Extinct
BM65430,Non Extinct
BM65431,Non Extinct
BM65432,Non Extinct
BM66040,Non Extinct
BM66949,Non Extinct
BM66950,Non Extinct
BM53571,Non Extinct
BM66043,Non Extinct
BM47440,Non Extinct
BM47443,Non Extinct
BM59489,Non Extinct
BM66954,Non Extinct
BM45939,Non Extinct
BM59485,Non Extinct
BM66955,Non Extinct
BM67144,Non Extinct
BM65821,Non Extinct
BM66958,Non Extinct
BM66959,Non Extinct
BM66960,Non Extinct
BM66961,Non Extinct
BM66962,Non Extinct
BM16840,Non Extinct
BM7212,Non Extinct
BM63376,Non Extinct
BM3929,Non Extinct
BM66956,Non Extinct
BM21031,Non Extinct
BM65279,Non Extinct
BM65282,Non Extinct
BM14973,Non Extinct
BM21034,Non Extinct
BM66953,Non Extinct
BM68235,Non Extinct
BM68237,Non Extinct
BM68241,Non Extinct
BM68512,Non Extinct
BM67289,Non Extinct
BM67290,Non Extinct
BM50144,Extinct
BM65204,Non Extinct
BM65205,Non Extinct
BM55119,Non Extinct
BM65206,Non Extinct
BM65207,Non Extinct
BM55132,Non Extinct
BM55147,Non Extinct
BM41238,Non Extinct
BM41243,Non Extinct
BM64312,Non Extinct
BM66028,Non Extinct
BM66287,Non Extinct
BM66289,Non Extinct
BM59477,Non Extinct
BM31138,Non Extinct
BM62611,Non Extinct
BM62637,Non Extinct
BM61628,Non Extinct
BM56345,Non Extinct
BM56346,Non Extinct
BM8945,Non Extinct
BM40383,Non Extinct
BM62097,Non Extinct
BM62639,Non Extinct
BM57965,Non Extinct
BM64879,Non Extinct
BM57808,Non Extinct
BM45520,Non Extinct
BM64670,Non Extinct
BM61879,Non Extinct
BM51102,Non Extinct
BM59448,Non Extinct
BM59461,Non Extinct
BM45757,Non Extinct
BM6466,Non Extinct
BM65421,Non Extinct
BM65422,Non Extinct
BM66286,Non Extinct
BM61880,Non Extinct
BM61881,Non Extinct
BM52116,Non Extinct
BM66285,Non Extinct
BM67849,Non Extinct
BM67848,Non Extinct
BM66288,Non Extinct
BM1908,Non Extinct
