title,item_code,division_id,vendor_id,status,mrp,barcode,brand,created_at,updated_at,category_id,section_id,,
BASAK VEGETABLE CREAM SOUP 60G,BM54190,FMCG FOOD,Allied Continental\TS Impex\Trinity Exim\Allied Food\Yash Traders,Non Extinct,70,8.69091E+12,,6/20/2017 10:56,6/20/2017 10:56,,NOODLES & SOUP,,
BASAK MUSHROOM CREAM SOUP 60G,BM54185,FMCG FOOD,Allied Continental\TS Impex\Trinity Exim\Allied Food\Yash Traders,Non Extinct,70,8.69091E+12,,6/20/2017 10:56,6/20/2017 10:56,,NOODLES & SOUP,,
BAGRRY''S WHITE OATS REFIL PACK 500G,BM47441,FMCG FOOD,Sumeru Trade com,Non Extinct,170,8.90271E+12,,6/20/2017 10:56,6/20/2017 10:56,,BREAKFAST CEREALS,,
BAGRRY''S NO ADDED SUGER CRUNCHY MUESLI 400G,BM47442,FMCG FOOD,Sumeru Trade com,Non Extinct,370,8.90271E+12,,6/20/2017 10:56,6/20/2017 10:56,,BREAKFAST CEREALS,,
SAPPHIRE MAGIC ROLL CHOCOLATE 100G,BM64281,FMCG FOOD,Radhika Import Export,Non Extinct,120,9.557E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
MALEE ORIENTAL CAN COFFEE: ROBUSTA 180 ML,BM66294,FMCG FOOD,Takshari Trade Concern,Non Extinct,75,8.85333E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
PRIYAGOLD LEMON CHASKA CREAM BISCUITS 90GM,BM67214,FMCG FOOD,Vishwanath & Sons,Non Extinct,25,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
PRIYAGOLD CHEESE CRACKERS 200G,BM1876,FMCG FOOD,Vishwanath & Sons,Non Extinct,50,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
PRIYA GOLD MAGIC FRUIT CAKE 75GM,BM67895,FMCG FOOD,Vishwanath & Sons,Non Extinct,35,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
JOHNSON BABY WIPES 56 PCS,BM65414,FMCG H&B,Radhika Import Export,Non Extinct,168,3.57466E+12,,6/20/2017 10:56,6/20/2017 10:56,,BABY NEEDS,,
PATANJALI AMALA JUICE 1LTR,BM63887,FMCG FOOD,Nepal Gramodhyog Pvt. Ltd./Patanjali Ayurved Pvt. Ltd.,Non Extinct,200,8.90608E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
PATANJALI ALOE VERA JUICE 1LTR,BM63888,FMCG FOOD,Nepal Gramodhyog Pvt. Ltd./Patanjali Ayurved Pvt. Ltd.,Non Extinct,400,8.90608E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
PASEO KITCHEN TOWEL 2 PLY 70 SHEETS (2 ROLLS) PLAIN,BM1919,FMCG H&H,Chokhani International,Non Extinct,282,8.99305E+12,,6/20/2017 10:56,6/20/2017 10:56,,PAPER & TISSUE,,
KUKJE ASSORTED DESSERT CANDY 900G,BM12397,FMCG FOOD,Khetan Overseas\Nikhil & Brothers\Suprime Mktg\Basanta Chemicals,Non Extinct,695,8.80902E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
AXE CLICK DEODORANT BODYSPRAY 150ML,BM12942,FMCG H&B,Amlesh Enterprises \ A.D. Trade Link,Non Extinct,247,8.71764E+12,,6/20/2017 10:56,6/20/2017 10:56,,DEOS & PERFUME,,
AXE DEODORANT BODY SPRAY APOLLO 150ML,BM59780,FMCG H&B,Amlesh Enterprises \ A.D. Trade Link,Non Extinct,247,8.71256E+12,,6/20/2017 10:56,6/20/2017 10:56,,DEOS & PERFUME,,
RIZLA PAPER KING SIZE SLIM,BM64924,LIQUOR & TOBACCO,Amlesh Enterprises \ A.D. Trade Link,Non Extinct,64,54034327,,6/20/2017 10:56,6/20/2017 10:56,,SMOKING ACCESSORIES,,
CHABAA RED APPLE JUICE 1 LTR,BM10078,FMCG FOOD,Allied Continental\TS Impex\Trinity Exim\Allied Food\Yash Traders,Non Extinct,255,8.85476E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
SHRINKHALA SUPER RED WINE 750ML,BM67170,LIQUOR & TOBACCO,JAY GAURI SHANKAR GANESH TRADE LINK P. LTD.,Non Extinct,400,89387132550,,6/20/2017 10:56,6/20/2017 10:56,,WINES,,
COKE CAN REGULAR 300ML,BM63422,FMCG FOOD,Krishna Nepal Trading Pvt. Ltd. (Coke),Non Extinct,75,8.90176E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
SRI SRI AYURVEDA CLEANSING MILK 100 ML,BM67294,FMCG H&B,Sarva Ayurveda Pvt. Ltd.,Non Extinct,140,8.90604E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
SRI SRI AYURVEDA EXFOLIATING FACE SCRUB 60 ML,BM67296,FMCG H&B,Sarva Ayurveda Pvt. Ltd.,Non Extinct,110,8.90604E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
SRI SRI AYURVEDA SANDAL SOAP 100GMS,BM67300,FMCG H&B,Sarva Ayurveda Pvt. Ltd.,Non Extinct,65,8.90604E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
PRAN APPLE FRUIT DRINK 1 LTR,BM62420,FMCG FOOD,Odhdat Trade Pvt. Ltd.,Non Extinct,165,8.3173E+11,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
PRAN PINEAPPLE FRUIT DRINK 1 LTR,BM62100,FMCG FOOD,Odhdat Trade Pvt. Ltd.,Non Extinct,165,8.3173E+11,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
PAMACARE ULTIMATE CLEAN TOOTHBRUSH,BM66080,FMCG H&B,S.B. Trade International,Non Extinct,110,8.90605E+12,,6/20/2017 10:56,6/20/2017 10:56,,ORAL CARE,,
ARCOR BUTTER TOFFEES GIF BOX ASSORTED 325G,BM65268,FMCG FOOD,Radhika Import Export,Non Extinct,420,7.79058E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
TESSA  BOX WHITE FACIAL TISSUE 60SHEETS 2PLY,BM61078,FMCG H&H,Gangotri Ayat Niryat,Non Extinct,78,8.99293E+12,,6/20/2017 10:56,6/20/2017 10:56,,PAPER & TISSUE,,
SAPPHIRE SECRETS DELUXE TOFFEES 235GM,BM65274,FMCG FOOD,Radhika Import Export,Non Extinct,126,8.90606E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
SANTOOR DEO SPRAY ENIGMA 150ML,BM66229,FMCG H&B,Krishna Nepal Trading Pvt. Ltd. (wipro),Non Extinct,320,8.9014E+12,,6/20/2017 10:56,6/20/2017 10:56,,DEOS & PERFUME,,
HALDIRAMS BHEL PURI150GX1,BM4473,FMCG FOOD,Malla & Malla Impex,Non Extinct,110,8.904E+12,,6/20/2017 10:56,6/20/2017 10:56,,SNACKS/SAVOURIES,,
GARNIER WHITE COMPLETE MULTI ACTION CREAM SPF17 18G,BM53828,FMCG H&B,Rishabh Trade Concern Pvt. Ltd. ( LG ),Non Extinct,136,8.90153E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
DETTOL REENERGIZE LIQUID HAND WASH 900ML,BM59386,FMCG H&B,KAP Traders Pvt. Ltd,Extinct,304,8.9014E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
FREEMAN BODY SUGAR SCRUB POMEGRANATE 150ML,BM67309,FMCG H&B,Nepal Overseas Marketing P. Ltd,Non Extinct,384,72151169134,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
DANIMA ATTA BISCUITS 250G,BM64273,FMCG FOOD,Radhika Import Export,Non Extinct,132,8.90606E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SAPPHIRE BUTTER COOKIES SILVER COLLECTION 400G,BM64275,FMCG FOOD,Radhika Import Export,Non Extinct,400,9.557E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SAPPHIRE MAGIC STIX CHOCOLATE 200G,BM64278,FMCG FOOD,Radhika Import Export,Non Extinct,198,9.557E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
DETTOL COOL SOAP 75G (CP) RS.9 OFF,BM62858,FMCG H&B,KAP Traders Pvt. Ltd,Extinct,115,8.9014E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
SRI SRI AYURVEDA ORANGE & TULASI SOAP 100GMS,BM67301,FMCG H&B,Sarva Ayurveda Pvt. Ltd.,Non Extinct,65,8.90604E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
AMIGO TORTILLA CORN CHIPS CHEESE 250G,BM61390,FMCG FOOD,Zodiac Marketing Pvt.Ltd,Non Extinct,275,6.29101E+12,,6/20/2017 10:56,6/20/2017 10:56,,SNACKS/SAVOURIES,,
FREEMAN FACIAL MOIST CLEANSER KIWI YOGURT 150ML,BM67311,FMCG H&B,Nepal Overseas Marketing P. Ltd,Non Extinct,384,72151458009,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
FREEMAN MASK PEEL CUCUMBER 175ML,BM67312,FMCG H&B,Nepal Overseas Marketing P. Ltd,Non Extinct,384,72151457774,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
FREEMAN PINK GRAPE FRUIT EXFOLIATING SCRUB 175ML,BM67314,FMCG H&B,Nepal Overseas Marketing P. Ltd,Non Extinct,384,72151458047,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
PATANJALI HALDI CHANDAN KANTI SOAP 150GM,BM66981,FMCG H&B,Nepal Gramodhyog Pvt. Ltd./Patanjali Ayurved Pvt. Ltd.,Non Extinct,40,8.90608E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
ARCOR BUTTER TOFFEES ASSORTED 150G,BM65276,FMCG FOOD,Radhika Import Export,Non Extinct,120,7.79058E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
HEARTBEAT CORAZON BELOVED CANDY 250GM,BM65277,FMCG FOOD,Radhika Import Export,Non Extinct,126,8.85063E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
ASYA CHOKO RAKS BAR CHOCOLATE 80G,BM64742,FMCG FOOD,Pushp Deep Intenational,Non Extinct,125,8.68097E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
VALOR S/F CHOCOLATE 100 GRM - DARK 70% W/ORANGE,BM65191,FMCG FOOD,G.D. International Pvt.Ltd (BF+VALOR),Non Extinct,341,8.41011E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
HIMANI BORO PLUS TOTAL RESULT MOISTURISING LOTION 300ML,BM67276,FMCG H&B,Shree Ganesh Cosmetics Center,Non Extinct,280,8.90125E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
HIMALAYA PURIFYING NEEM FACE WASH 100G,BM50659,FMCG H&B,Mangalam International Pvt.Ltd. HIMALAYA,Non Extinct,176,8.90114E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
NATURAL FRUIT JUICE  1LTR. - PINK GUAVA,BM14977,FMCG FOOD,Subha Trade Concern,Non Extinct,245,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
NATURAL FRUIT JUICE  1LTR. LITCHI,BM14979,FMCG FOOD,Subha Trade Concern,Non Extinct,245,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
PATANJALI ALOE VERA SOAP 150GM,BM66982,FMCG H&B,Nepal Gramodhyog Pvt. Ltd./Patanjali Ayurved Pvt. Ltd.,Non Extinct,40,8.90608E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
HIMANI BORO PLUS TOTAL RESULT MOISTURISING LOTION 200ML,BM67275,FMCG H&B,Shree Ganesh Cosmetics Center,Non Extinct,184,8.90125E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
TUYO BON BON  ASSORTED CANDY 500GM,BM66470,FMCG FOOD,Pushp Deep Intenational,Non Extinct,450,8.68097E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
GANDOUR PIK ONE 2F CHOCLATE,BM65629,FMCG FOOD,Maruti Trading Pvt.Ltd.,Non Extinct,20,8.90336E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
GANDOUR PIK ONE 4F CHOCLATE,BM65630,FMCG FOOD,Maruti Trading Pvt.Ltd.,Non Extinct,40,8.90336E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
VOCHELLE ASSORTMENT 325G (SQ TIN),BM65362,FMCG FOOD,Radhika Import Export,Non Extinct,1170,9.55605E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
HEART BEAT CORAZON CANDY 25G,BM65433,FMCG FOOD,Radhika Import Export,Non Extinct,10,8.85063E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
GREEN PEARS USA,BM16513,FRESH,G.T.FRUIT CENTER (P).LTD.,Extinct,295,2119,,6/20/2017 10:56,6/20/2017 10:56,,FRESH FRUIT & VEGETABLE,,
RADISH RED,BM18129,FRESH,Fresh Vegetable & Fruit Centre,Extinct,30,1136,,6/20/2017 10:56,6/20/2017 10:56,,FRESH FRUIT & VEGETABLE,,
HIMALAYA ALMOND & ROSE SOAP 125G,BM59200,FMCG H&B,Mangalam International Pvt.Ltd. HIMALAYA,Extinct,64,8.90114E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
LEXUS SANDWICH CALCIUM CRACKER PEANUT BUTTER 225G,BM63475,FMCG FOOD,Khetan Overseas\Nikhil & Brothers\Suprime Mktg\Basanta Chemicals,Non Extinct,260,9.55644E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
HALO NOURISHING SHAMPOO WITH CONDITIONER 1000ML,BM6604,FMCG H&B,Riyaz Traders Pvt.Ltd.,Non Extinct,448,8.90131E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
GODREJ NO. 1 LIME & ALOE VERA BATH SOAP 68G,BM60522,FMCG H&B,Atlantic Enterprises Pvt.Ltd ( GODREJ ),Non Extinct,17,8.90102E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
NATURAL FRUIT JUICE  1LTR. ORANGE,BM14976,FMCG FOOD,Subha Trade Concern,Non Extinct,245,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
KRUGER APPLE TEA DRINK 400G,BM6799,FMCG FOOD,Radhika Import Export,Non Extinct,372,4.0527E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
NATURAL FRUIT JUICE ( SUGAR FREE) ORANGE 1LTR,BM21042,FMCG FOOD,Subha Trade Concern,Non Extinct,255,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
NATURAL FRUIT JUICE ( SUGAR FREE) PINEAPPLE 1LTR,BM21044,FMCG FOOD,Subha Trade Concern,Non Extinct,255,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
CYCLE PURE AGARBATHIES ECO PACK,BM57141,FMCG H&H,Straina International Pvt. Ltd.,Extinct,200,8.90175E+12,,6/20/2017 10:56,6/20/2017 10:56,,PUJA NEEDS,,
HIMALAYA PROTEIN CONDITIONER (DAMAGE & REPAIR) 200ML,BM63048,FMCG H&B,Mangalam International Pvt.Ltd. HIMALAYA,Non Extinct,208,8.90114E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
DRUK MANGO JUICE SWEETENED 800ML,BM4283,FMCG FOOD,Aadarsha Marketing Pvt. Ltd.Druk,Non Extinct,155,8.90182E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
UNIBIS BUTTER COOKIES 150G,BM63576,FMCG FOOD,Tunchhe Trans Himalayan Trading concern,Non Extinct,90,8.90601E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
CATCH SAMBHAR MASALA 100G,BM4229,STAPLE,Kunj Trading Pvt. Ltd.,Non Extinct,116,8.90119E+12,,6/20/2017 10:56,6/20/2017 10:56,,SPICES,,
NATURAL FRUIT JUICE 2LTR.- MIXED,BM14971,FMCG FOOD,Subha Trade Concern,Non Extinct,470,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
NATURAL FRUIT JUICE  1LTR.- APPLE,BM14975,FMCG FOOD,Subha Trade Concern,Non Extinct,245,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
ELISE CANDY ASSORTED TUFFLE500GM,BM66467,FMCG FOOD,Pushp Deep Intenational,Non Extinct,425,8.68097E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
KNORR SOUP CHINESE HOT & SOUR VEGETABLE 43G,BM58703,FMCG FOOD,Krishna Nepal Trading Pvt. Ltd.( food),Non Extinct,75,8.90103E+12,,6/20/2017 10:56,6/20/2017 10:56,,NOODLES & SOUP,,
PARACHUTE BODY LOTION BUTTER SMOOTH100ML,BM60245,FMCG H&B,Krishna Nepal Trading Pvt. Ltd.(MARICO),Non Extinct,112,8.90109E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
EMAMI FAIR & HANDSOME INSTANT FACE WASH 50ML,BM66482,FMCG H&B,Shree Ganesh Cosmetics Center,Non Extinct,128,8.90125E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
